year,city,country,avg_temp,5-Year Moving Average
1820,Houston,United States,19.11,
1821,Houston,United States,19.57,
1822,Houston,United States,20.05,
1823,Houston,United States,19.62,
1824,Houston,United States,20.19,19.708
1825,Houston,United States,20.44,19.974
1826,Houston,United States,20.17,20.094
1827,Houston,United States,20.83,20.25
1828,Houston,United States,20.41,20.408
1829,Houston,United States,20,20.37
1830,Houston,United States,20.72,20.426
1831,Houston,United States,19.25,20.242
1832,Houston,United States,19.89,20.054
1833,Houston,United States,20.32,20.036
1834,Houston,United States,20.56,20.148
1835,Houston,United States,18.62,19.728
1836,Houston,United States,19.01,19.68
1837,Houston,United States,19.68,19.638
1838,Houston,United States,18.77,19.328
1839,Houston,United States,19.68,19.152
1840,Houston,United States,19.85,19.398
1841,Houston,United States,19.88,19.572
1842,Houston,United States,20.12,19.66
1843,Houston,United States,19.84,19.874
1844,Houston,United States,20.05,19.948
1845,Houston,United States,19.68,19.914
1846,Houston,United States,20.24,19.986
1847,Houston,United States,19.45,19.852
1848,Houston,United States,19.7,19.824
1849,Houston,United States,20.35,19.884
1850,Houston,United States,20.14,19.976
1851,Houston,United States,20.03,19.934
1852,Houston,United States,19.81,20.006
1853,Houston,United States,19.22,19.91
1854,Houston,United States,19.87,19.814
1855,Houston,United States,19.55,19.696
1856,Houston,United States,19.15,19.52
1857,Houston,United States,19.52,19.462
1858,Houston,United States,19.99,19.616
1859,Houston,United States,20.22,19.686
1860,Houston,United States,20.31,19.838
1861,Houston,United States,20.47,20.102
1862,Houston,United States,20.53,20.304
1863,Houston,United States,20.01,20.308
1864,Houston,United States,19.55,20.174
1865,Houston,United States,20.15,20.142
1866,Houston,United States,20.01,20.05
1867,Houston,United States,20.75,20.094
1868,Houston,United States,19.8,20.052
1869,Houston,United States,19.45,20.032
1870,Houston,United States,19.95,19.992
1871,Houston,United States,20.44,20.078
1872,Houston,United States,19.71,19.87
1873,Houston,United States,19.67,19.844
1874,Houston,United States,20.37,20.028
1875,Houston,United States,19.81,20
1876,Houston,United States,19.9,19.892
1877,Houston,United States,19.6,19.87
1878,Houston,United States,20.04,19.944
1879,Houston,United States,20.48,19.966
1880,Houston,United States,19.82,19.968
1881,Houston,United States,20.14,20.016
1882,Houston,United States,20.47,20.19
1883,Houston,United States,20.26,20.234
1884,Houston,United States,19.92,20.122
1885,Houston,United States,19.51,20.06
1886,Houston,United States,19.25,19.882
1887,Houston,United States,19.97,19.782
1888,Houston,United States,19.58,19.646
1889,Houston,United States,19.79,19.62
1890,Houston,United States,20.6,19.838
1891,Houston,United States,19.65,19.918
1892,Houston,United States,19.82,19.888
1893,Houston,United States,20.14,20
1894,Houston,United States,20.16,20.074
1895,Houston,United States,19.26,19.806
1896,Houston,United States,20.48,19.972
1897,Houston,United States,20.29,20.066
1898,Houston,United States,19.62,19.962
1899,Houston,United States,19.73,19.876
1900,Houston,United States,20.04,20.032
1901,Houston,United States,19.87,19.91
1902,Houston,United States,20.34,19.92
1903,Houston,United States,19.04,19.804
1904,Houston,United States,20.05,19.868
1905,Houston,United States,19.67,19.794
1906,Houston,United States,20.08,19.836
1907,Houston,United States,20.8,19.928
1908,Houston,United States,20.57,20.234
1909,Houston,United States,20.6,20.344
1910,Houston,United States,20.31,20.472
1911,Houston,United States,20.96,20.648
1912,Houston,United States,19.45,20.378
1913,Houston,United States,19.58,20.18
1914,Houston,United States,19.49,19.958
1915,Houston,United States,20.05,19.906
1916,Houston,United States,20.65,19.844
1917,Houston,United States,19.96,19.946
1918,Houston,United States,20.18,20.066
1919,Houston,United States,19.74,20.116
1920,Houston,United States,19.93,20.092
1921,Houston,United States,21.29,20.22
1922,Houston,United States,20.78,20.384
1923,Houston,United States,20.41,20.43
1924,Houston,United States,19.79,20.44
1925,Houston,United States,20.59,20.572
1926,Houston,United States,19.92,20.298
1927,Houston,United States,21.39,20.42
1928,Houston,United States,20.07,20.352
1929,Houston,United States,19.99,20.392
1930,Houston,United States,19.85,20.244
1931,Houston,United States,20.44,20.348
1932,Houston,United States,20.31,20.132
1933,Houston,United States,21.66,20.45
1934,Houston,United States,20.96,20.644
1935,Houston,United States,20.69,20.812
1936,Houston,United States,19.57,20.638
1937,Houston,United States,20.29,20.634
1938,Houston,United States,20.95,20.492
1939,Houston,United States,20.82,20.464
1940,Houston,United States,19.46,20.218
1941,Houston,United States,20.19,20.342
1942,Houston,United States,19.99,20.282
1943,Houston,United States,20.19,20.13
1944,Houston,United States,20.49,20.064
1945,Houston,United States,20.86,20.344
1946,Houston,United States,20.72,20.45
1947,Houston,United States,19.95,20.442
1948,Houston,United States,20.52,20.508
1949,Houston,United States,20.74,20.558
1950,Houston,United States,21.16,20.618
1951,Houston,United States,20.93,20.66
1952,Houston,United States,20.3,20.73
1953,Houston,United States,20.72,20.77
1954,Houston,United States,21.23,20.868
1955,Houston,United States,20.82,20.8
1956,Houston,United States,21.07,20.828
1957,Houston,United States,20.79,20.926
1958,Houston,United States,20.01,20.784
1959,Houston,United States,19.91,20.52
1960,Houston,United States,19.75,20.306
1961,Houston,United States,19.84,20.06
1962,Houston,United States,20.57,20.016
1963,Houston,United States,20.49,20.112
1964,Houston,United States,20.28,20.186
1965,Houston,United States,20.73,20.382
1966,Houston,United States,19.77,20.368
1967,Houston,United States,20.56,20.366
1968,Houston,United States,19.53,20.174
1969,Houston,United States,20.43,20.204
1970,Houston,United States,19.82,20.022
1971,Houston,United States,20.95,20.258
1972,Houston,United States,20.39,20.224
1973,Houston,United States,20.12,20.342
1974,Houston,United States,20.39,20.334
1975,Houston,United States,20.29,20.428
1976,Houston,United States,19.39,20.116
1977,Houston,United States,20.49,20.136
1978,Houston,United States,19.82,20.076
1979,Houston,United States,19.39,19.876
1980,Houston,United States,20.48,19.914
1981,Houston,United States,20.63,20.162
1982,Houston,United States,20.65,20.194
1983,Houston,United States,19.38,20.106
1984,Houston,United States,20.61,20.35
1985,Houston,United States,20.39,20.332
1986,Houston,United States,20.91,20.388
1987,Houston,United States,20.17,20.292
1988,Houston,United States,20.37,20.49
1989,Houston,United States,19.94,20.356
1990,Houston,United States,21.3,20.538
1991,Houston,United States,20.59,20.474
1992,Houston,United States,20.38,20.516
1993,Houston,United States,20.1,20.462
1994,Houston,United States,20.69,20.612
1995,Houston,United States,20.78,20.508
1996,Houston,United States,20.74,20.538
1997,Houston,United States,20.14,20.49
1998,Houston,United States,21.74,20.818
1999,Houston,United States,21.65,21.01
2000,Houston,United States,21.34,21.122
2001,Houston,United States,20.64,21.102
2002,Houston,United States,20.67,21.208
2003,Houston,United States,20.69,20.998
2004,Houston,United States,20.98,20.864
2005,Houston,United States,21.23,20.842
2006,Houston,United States,21.46,21.006
2007,Houston,United States,20.71,21.014
2008,Houston,United States,21.01,21.078
2009,Houston,United States,21.11,21.104
2010,Houston,United States,20.43,20.944
2011,Houston,United States,21.69,20.99
2012,Houston,United States,21.86,21.22
2013,Houston,United States,22.28,21.474
